country,total_reviews,pct_of_total,avg_rating,sentiment_positive_pct,sentiment_negative_pct,top_priority_1,top_priority_2,top_priority_3,top_food_1,top_food_2,top_praise,top_complaint,key_insight,marketing_message
United Kingdom,3401,29.6,4.68,73.2,1.9,View (2563),Service (1830),Lovely atmosphere (988),Steak (237),Dessert (171),Recommend (684),Wait (50),Most loyal reviewers - value friendliness and views,"Lovely evening with spectacular views and friendly staff"
USA,1316,12.3,4.73,74.8,2.7,Food (958),Service (748),Experience (285),Fish (104),Risotto (83),Great (296),Wait (20),Focus on complete experience - quality matters,"Complete dining experience with finest cuisine and beautiful setting"
Australia,313,2.6,4.65,71.2,2.6,Food (231),Service (198),View (143),Seafood (28),Risotto (24),Great (62),Wait (4),Most balanced expectations - want it all,"Perfect balance of food, service, and stunning views"
Ireland,257,2.0,4.60,71.6,1.9,Food (198),Staff (110),Service (108),Steak (22),Seafood (17),Recommend (62),Service (6),People-focused - staff as individuals matter,"Friendly staff in a setting worth experiencing"
Canada,202,1.7,4.61,76.2,4.0,Food (151),Service (136),View (118),Seafood (20),Fish (18),Great (46),Wait/Bad (4),Most satisfied guests - seek premium quality,"Excellent quality and best dining experience on the coast"
Croatia,174,1.5,4.85,78.2,0.6,Food (123),View (107),Service (81),Steak (16),Pasta (14),Recommend (43),Wait (2),Highest ratings - local pride and quality focus,"Professional service with perfect quality at transparent prices"
France,122,1.0,4.56,69.7,2.5,Good (86),View (64),Service (64),Fish (20),Risotto (10),Great (21),Wait (4),Most reserved in praise - gastronomy experts,"Quality dishes and fresh fish prepared to perfection"
Netherlands,92,0.8,4.54,71.7,3.3,Food (66),Service (57),View (53),Steak (6),Fish (8),Great (19),Expensive (3),Balanced with price awareness,"Great food and friendly service in prime location"
Norway,84,0.7,4.67,61.9,1.2,Food (64),Good (63),Restaurant (51),Steak (5),Fish (7),Recommend (16),Expensive (1),Conservative but satisfied,"Good restaurant with amazing views and friendly waiters"
Germany,80,0.7,4.76,81.2,0.0,Food (54),Service (47),View (43),Fish (9),Seafood (6),Recommend (14),Price (1),Extremely satisfied - no negative reviews,"Excellent quality, friendly and attentive professional service"
Finland,77,0.6,4.40,70.1,2.6,Good (56),Food (49),Restaurant (39),Steak (6),Fish (5),Great (10),Wait (3),Value-conscious and quality-focused,"Good restaurant with excellent food and perfect setting"
Spain,69,0.6,4.58,71.0,5.8,Food (44),Service (40),Views (27),Fish (9),Pizza/Risotto (5),Excellent (10),Bad (3),Higher critical voice - authentic expectations,"Best experience with perfect food and friendly staff"
Sweden,65,0.5,4.40,75.4,3.1,Food (46),View (38),Service (36),Fish (2),Wine (11),Amazing (12),Wait (2),Appreciate amazing experiences,"Amazing place with really good food and fantastic views"
Switzerland,65,0.5,4.51,67.7,4.6,Food (48),View (43),Restaurant (40),Fish (1),Seafood (4),Great (15),Small portions (2),Quality-focused with attention to detail,"Great food and excellent service with attentive staff"
Singapore,58,0.5,4.55,70.7,3.4,Service (39),Food (38),View (32),Fish (5),Seafood (6),Great (12),Overpriced (1),Service-first mentality,"Great service and best food in prime location"
