slide_number,slide_title,key_message,supporting_data,visual_suggestion,color_code
1,Global Guest Profile,"11,901 reviews from 48+ countries reveal distinct cultural preferences",Top 5: UK (29.6%), USA (12.3%), AUS (2.6%), IRE (2.0%), CAN (1.7%),World map with country flags and percentages,Blue theme
2,The View Factor,"Views mentioned 6,400+ times - the universal differentiator",UK: 2,563 | USA: 1,013 | AUS: 211 | Total: 6,400+,Bar chart showing view mentions by country,Ocean blue gradient
3,Cultural Sentiment Map,"Satisfaction varies dramatically by nationality",Germany 81.2% | Croatia 78.2% | Canada 76.2% | France 69.7%,Heat map of countries with sentiment scores,Green (high) to yellow (medium)
4,UK Guests: The Loyalists,"Most reviews, highest loyalty, view-obsessed","3,401 reviews | 73.2% positive | ""Lovely"" 988x | ""Friendly"" 698x",UK flag with key words cloud,Red/Blue/White
5,USA Guests: Experience Seekers,"It's not just food - it's the complete journey","1,316 reviews | 74.8% positive | ""Experience"" 285x | Fish > Steak",US flag with experience journey graphic,Red/White/Blue stars
6,Premium Segment: Nautika Lovers,"Canada, Germany, Sweden give perfect scores",Nautika sentiment: CAN 0.847 | GER 0.887 | SWE 1.000 | SPA 0.800,Gold trophy with country flags,Gold/Black premium
7,Food Preferences by Nation,"What different cultures crave",UK: Steak 237 | USA: Fish 104 | AUS: Seafood 28 | CRO: Pasta 14,Food icons with country associations,Colorful food imagery
8,The Complaint Spectrum,"What bothers guests varies by culture",UK Wait (50) | USA Wait (20) | Service complaints: UK (35) USA (19),Stacked bar chart by complaint type,Red warning colors
9,Local Pride: Croatian Guests,"Lowest negative sentiment, highest ratings for local restaurants",0.6% negative | 4.85 avg rating | 78.2% positive,Croatian flag with pride messaging,Red/White/Blue checkered
10,Arsenal: The Universal Favorite,"Highest sentiment across most nationalities",UK: 4.82 | USA: 4.82 | AUS: 4.89 | NOR: 4.95 sentiment,Arsenal logo with rating stars,Restaurant brand colors
11,Ireland: The People Connect,"Only country where Staff > Service",Staff 110 mentions | Service 108 | ""Friendly"" priority | ""Worth it"" focus,Irish flag with staff portraits,Green/White/Orange
12,The Recommender Nations,"Who spreads the word",UK 803 recommends | USA 265 | AUS 65 | IRE 74 per capita winner,Viral/share icon with percentages,Social media blue
13,German Perfection,"81.2% positive, 0% negative - most satisfied guests",Zero complaints | 4.76 avg rating | Professional service focus,German flag with 5 stars,Black/Red/Gold
14,Wine & Dine Culture,"UK and USA dominate beverage mentions",UK Wine: 652 Cocktails: 303 | USA Wine: 305 Cocktails: 69,Wine glass icons with country flags,Wine red/purple
15,The 8 Cultural Segments,"One size doesn't fit all - segment your approach","View Seekers | Experience Hunters | Quality Perfectionists | Balance Seekers | People Connectors | Premium Loyalists | Value Conscious | Foodie Explorers",Circular segment diagram with 8 sections,Rainbow color segments
16,Actionable Insights,"How to leverage these findings","UK: Highlight views+friendly | USA: Sell experience | GER: Show quality | IRE: Feature staff | CAN: Premium positioning",Action checklist with country icons,Action green
17,ROI Opportunities,"Where to focus marketing spend",Top ROI: UK market (29.6% volume, high loyalty) | Premium: Canada/Germany (high satisfaction) | Growth: Australia (0.835 sentiment),Dollar signs with growth arrows,Money green
18,The Wait Problem,"Operational challenge primarily affecting UK guests",UK: 50 complaints | USA: 20 | Solutions: Reservation system, queue management,Clock/timer icon with solution bullets,Warning orange
19,Restaurant Positioning Matrix,"Right restaurant for right audience",Arsenal→UK masses | Nautika→Premium seekers | Panorama→View lovers | Dubravka→Value hunters,2x2 matrix positioning,Four quadrant colors
20,Next Steps,"Implement country-specific strategies",Personalized marketing | Staff training by segment | Menu optimization | Pricing transparency,Roadmap timeline graphic,Forward blue
