prioritet,platforma,zemlja_regija,status,procjena_korisnika,investicija_eur,mjesecni_troskovi_eur,timeline_dani,razlog,ocekivani_roi,actionable
🔴 KRITIČNO 1,Dianping (大众点评),KINA,NISU PRISUTNI,600M,5000,500,60,"80% Kineza koristi Dianping prije putovanja. Bez ovoga NE POSTOJITE za Kineze!",+80000€/god,DA - HITNO
🔴 KRITIČNO 2,WeChat Official Account,KINA,NISU PRISUTNI,1300M,3000,400,45,Essential za komunikaciju sa kineskim tržištem. Bez WeChat Official Account nema China market.,+50000€/god,DA - HITNO
🔴 KRITIČNO 3,Xiaohongshu (小红书),KINA,NISU PRISUTNI,300M,4000,600,60,"Mladi Kinezi (18-35) planiraju 100% putovanja preko Xiaohongshu. Food content #1 kategorija.",+60000€/god,DA - HITNO
🔴 KRITIČNO 4,Naver (네이버),JUŽNA KOREJA,NISU PRISUTNI,45M,2000,300,30,"90% Korejaca koristi Naver umjesto Googlea. Bez Navera NE POSTOJITE za Koreance!",+25000€/god,DA - HITNO
🔴 KRITIČNO 5,KakaoMap (카카오맵),JUŽNA KOREJA,NISU PRISUTNI,40M,1500,200,30,Essential za Koreance da nađu lokaciju. Google Maps slabo radi u Koreji.,+15000€/god,DA - VAŽNO
🔴 KRITIČNO 6,Gault&Millau Croatia,HRVATSKA/EUROPA,NISU PRISUTNI - KONKURENTI JESU!,500K,APLIKACIJA,0,180,"Konkurent Restaurant 360 ima 4 toques (najbolja ocjena). Vi NISTE NI NA LISTI! Gubi se kredibilitet.",Kredibilitet,DA - HITNO!
🔴 VAŽNO 7,Arabic Website Version,UAE/SAUDIJSKA/KATAR,NE POSTOJI,400M govornika,3000,100,45,UAE gosti su highest spenders (0% negativnih recenzija!). Zaslužuju arapski web!,+40000€/god,DA
🟠 VAŽNO 8,WeChat Pay Integration,KINA,NIJE INTEGRIRANO,900M,2000,100,30,"Kinezi žele platiti sa WeChat Pay, ne karticama. Convenience = više posjeta.",+30000€/god,DA
🟠 VAŽNO 9,Instagram Korean Strategy,JUŽNA KOREJA,NISU OPTIMIZIRANI,20M KR users,500,300,14,"Instagram stratešan ali trebaju Korean hashtags (#두브로브니크, #크로아티아맛집, etc.)",+30000€/god,DA
🟠 VAŽNO 10,Zomato UAE,UAE,NISU PRISUTNI,5M,1000,200,30,UAE market raste. Premium dining segment. Highest average check.,+20000€/god,DA
